# file...... transformer_power_day.csv
# date...... Sat Sep 02 13:19:34 2017
# user...... Jon
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag
2016-01-01 00:00:00 PST,+226504,+3831.53,+183525,+30644,+183824,-23713.8
2016-01-01 00:15:00 PST,+507976,+37424.9,+426917,+72233.2,+442151,-23758.5
2016-01-01 00:30:00 PST,+513400,+42001,+430518,+72549.7,+450911,-23424.1
2016-01-01 00:45:00 PST,+510859,+35071.5,+450999,+65189.1,+460055,-10418.5
2016-01-01 01:00:00 PST,+717441,+77249.1,+591585,+97700.1,+644668,-33584.4
2016-01-01 01:15:00 PST,+636623,+35707.6,+590223,+81940,+579599,+7925.76
