YEAR,MO,DY,swv_dwn,avg_kt,clr_sky,TSKIN
1991,8,4,5.92,0.55,6.18,24.25
1991,8,5,6.1,0.56,6.2,24.22
1991,8,6,5.87,0.55,6.68,24.47
1991,8,7,4.85,0.45,5.37,24.38
1991,8,8,6.18,0.58,6.22,24.27
1991,8,9,5.82,0.55,5.65,24.66
1991,8,10,5.71,0.54,5.82,24.84
1991,8,11,4.5,0.42,7.15,25
1991,8,12,5.49,0.52,5.5,25.06
1991,8,13,4.71,0.45,7.12,25.43
1991,8,14,4.07,0.39,6.27,25.09
1991,8,15,4.55,0.44,5.08,25.93
1991,8,16,5.21,0.5,6.6,26.46
1991,8,17,5.45,0.53,6.62,26.27
1991,8,18,5.66,0.55,5.78,25.23
1991,8,19,5.98,0.58,6.08,25.37
1991,8,20,5.86,0.57,5.86,26.37
1991,8,21,7,0.69,7,27.44
1991,8,22,6.44,0.64,6.55,26.87
1991,8,23,4.9,0.49,6.72,26.71
1991,8,24,0.5,0.05,6.66,23.97
1991,8,25,1.38,0.14,6.67,26.14
1991,8,26,0.7,0.07,6.58,26.49
1991,8,27,4.91,0.5,5.58,26.96
1991,8,28,6.48,0.66,6.63,26.15
1991,8,29,3.44,0.35,5.14,24.38
1991,8,30,4.38,0.45,6.14,24.92
1991,8,31,6.19,0.64,6.19,26.85
1991,9,1,5.13,0.53,5.14,27.05
1991,9,2,1.04,0.11,6.45,24.61
1991,9,3,3.91,0.41,6.47,25.7
1991,9,4,1.34,0.14,6.38,23.73
1991,9,5,5.62,0.59,5.65,24.63
1991,9,6,5.84,0.62,5.94,24.28
1991,9,7,6.21,0.66,6.21,24.36
1991,9,8,5.18,0.56,5.8,25.21
1991,9,9,4.93,0.53,5.83,25.06
1991,9,10,1.71,0.19,6.26,25.31
1991,9,11,1.54,0.17,6.13,22.33
1991,9,12,5.76,0.63,6.36,21.72
1991,9,13,6.2,0.69,6.25,22.48
1991,9,14,5.12,0.57,5.43,22.75
1991,9,15,5.48,0.62,5.5,23.05
1991,9,16,4.81,0.54,5.13,23.97
1991,9,17,4.93,0.56,5.05,23.45
1991,9,18,5.01,0.57,5.21,22.75
1991,9,19,5.71,0.66,5.75,21.1
1991,9,20,5.22,0.61,5.24,21.09
1991,9,21,4.59,0.54,5.22,22.13
1991,9,22,5.68,0.67,5.73,21.88
1991,9,23,4.43,0.52,4.96,22.64
1991,9,24,4.29,0.51,5.63,23.01
1991,9,25,3.06,0.37,5.53,22.67
1991,9,26,0.78,0.09,5.43,19.61
1991,9,27,4.97,0.61,4.92,19.65
1991,9,28,4.35,0.53,5.33,19.75
1991,9,29,4.76,0.59,4.76,21.32
1991,9,30,4.98,0.62,5.01,21.53
1991,10,1,4.81,0.6,5.24,20.86
1991,10,2,4.01,0.51,4.17,21.9
1991,10,3,0.55,0.07,5.13,18.72
1991,10,4,4.73,0.61,5.34,17.87
1991,10,5,5.06,0.66,5.28,19.01
1991,10,6,5.17,0.68,5.17,19.94
1991,10,7,4.99,0.66,5.19,19.38
1991,10,8,4.38,0.58,5.01,20.61
1991,10,9,4.29,0.57,4.74,20.4
1991,10,10,4.69,0.63,4.72,21.56
1991,10,11,3.6,0.49,4.6,21.48
1991,10,12,4.25,0.58,4.03,22.02
1991,10,13,4.09,0.57,4.19,20.91
1991,10,14,4.33,0.6,4.28,17.97
1991,10,15,2.16,0.3,4.63,19.74
1991,10,16,3.13,0.44,4.17,19.83
1991,10,17,4.78,0.68,4.8,18.85
1991,10,18,4.42,0.64,4.55,17.38
1991,10,19,4.35,0.63,4.46,14.66
1991,10,20,4.78,0.7,4.84,14.49
1991,10,21,4.08,0.61,4.35,16.27
1991,10,22,4.22,0.63,4.23,15.89
1991,10,23,3.66,0.55,4.16,17.18
1991,10,24,2.89,0.44,3.87,17.04
1991,10,25,3.39,0.52,3.38,17.69
1991,10,26,3.83,0.59,3.87,15.21
1991,10,27,3.95,0.62,3.99,13.13
1991,10,28,3.95,0.62,3.98,14.03
1991,10,29,3.94,0.63,3.97,15.26
1991,10,30,3.42,0.55,3.96,13.45
1991,10,31,3.72,0.6,3.82,12.64
1991,11,1,4.56,0.75,4.56,15.06
1991,11,2,3.8,0.63,3.8,16.97
1991,11,3,4.18,0.7,4.2,13.15
1991,11,4,3.89,0.65,4,13.23
1991,11,5,3.3,0.56,3.74,16.08
1991,11,6,2.6,0.45,3.72,16.49
1991,11,7,2.99,0.52,4.13,10.6
1991,11,8,3.91,0.68,4.31,9.84
1991,11,9,3,0.53,4.1,10.96
1991,11,10,3.73,0.66,4.05,9.12
1991,11,11,3.96,0.71,4.12,8.59
1991,11,12,3.94,0.71,4.09,9.49
1991,11,13,3.89,0.71,4.03,10.37
1991,11,14,3.82,0.7,3.96,9.95
1991,11,15,3.75,0.69,3.93,9.8
1991,11,16,3.77,0.7,3.77,11.27
1991,11,17,3.61,0.68,3.72,10.43
1991,11,18,3.66,0.69,3.72,11.56
1991,11,19,3.51,0.67,3.65,9.83
1991,11,20,3.48,0.67,3.61,9.57
1991,11,21,1.44,0.28,3.61,12.41
1991,11,22,3.06,0.6,3.42,13.35
1991,11,23,3.43,0.68,3.47,11.43
1991,11,24,3.3,0.65,3.43,8.03
1991,11,25,2.95,0.59,3.43,6.79
1991,11,26,2.76,0.56,3.55,8.88
1991,11,27,2.54,0.51,3.48,10.33
1991,11,28,3.27,0.67,3.36,9.96
1991,11,29,3.26,0.67,3.27,10.75
1991,11,30,3.02,0.62,3.14,9.57
1991,12,1,3.09,0.64,3.24,9.59
1991,12,2,2.17,0.45,3.41,9.74
1991,12,3,3.15,0.66,3.37,7.62
1991,12,4,3.33,0.7,3.35,9.95
1991,12,5,3.17,0.67,3.23,12.59
1991,12,6,2.8,0.6,3.1,11.58
1991,12,7,0.83,0.18,3.26,5.47
1991,12,8,2.15,0.46,3.36,3.67
1991,12,9,2.62,0.56,3.34,4.69
1991,12,10,1.2,0.26,3.26,5.73
1991,12,11,1.97,0.43,3.37,4.02
1991,12,12,3.13,0.68,3.47,3.27
1991,12,13,3.28,0.72,3.39,5.26
1991,12,14,3,0.66,3.21,7.79
1991,12,15,3,0.66,3.19,8.92
1991,12,16,2.41,0.53,3.1,10.49
1991,12,17,2.06,0.45,3.32,6.08
1991,12,18,2.88,0.63,3.28,4.17
1991,12,19,2.78,0.61,3.14,4.19
1991,12,20,2.82,0.62,3.16,4.19
1991,12,21,3.02,0.67,3.09,5.1
1991,12,22,0.9,0.2,3.12,5.52
1991,12,23,1.23,0.27,3.11,4.96
1991,12,24,1.32,0.29,3.19,3.27
1991,12,25,2.04,0.45,3.23,2.71
1991,12,26,1.24,0.27,3.24,2.64
1991,12,27,2.4,0.53,3.33,0.33
1991,12,28,2.88,0.63,3.5,0.85
1991,12,29,3.23,0.71,3.46,1.18
1991,12,30,2.95,0.64,3.43,1.92
1991,12,31,2.22,0.48,3.31,1.58
1992,1,1,3.41,0.74,3.44,2.55
1992,1,2,3.44,0.74,3.46,2.77
1992,1,3,3.34,0.72,3.47,2.77
1992,1,4,3.39,0.73,3.48,3.55
1992,1,5,0.89,0.19,3.32,3.79
1992,1,6,1.07,0.23,3.33,2.69
1992,1,7,2.09,0.44,3.47,1.53
1992,1,8,1.54,0.32,3.42,2.25
1992,1,9,2.57,0.54,3.43,2.76
1992,1,10,2.75,0.57,3.62,2.21
1992,1,11,2.53,0.52,3.19,2.12
1992,1,12,2.53,0.52,3.06,3.59
1992,1,13,2.27,0.47,3.5,1.71
1992,1,14,2.86,0.58,3.63,1.38
1992,1,15,3.11,0.63,3.69,1.47
1992,1,16,3.03,0.61,3.82,1.91
1992,1,17,3.16,0.63,3.84,1.76
1992,1,18,3.06,0.61,3.81,2.09
1992,1,19,3.2,0.63,3.88,2.39
1992,1,20,2.89,0.56,3.82,2.44
1992,1,21,3.23,0.63,3.81,2.82
1992,1,22,3.6,0.69,3.95,2.58
1992,1,23,3.52,0.67,3.95,3.18
1992,1,24,3.39,0.64,3.98,3.82
1992,1,25,3.65,0.68,4.05,3.52
1992,1,26,3.85,0.72,4.05,4.68
1992,1,27,3.98,0.73,4,5.47
1992,1,28,2.81,0.51,3.56,8.31
1992,1,29,1.3,0.24,3.96,4.69
1992,1,30,2.92,0.53,4.13,2.31
1992,1,31,3.29,0.59,4.31,1.05
1992,2,1,4.24,0.75,4.24,1.75
1992,2,2,1.47,0.26,4.12,2.46
1992,2,3,3.59,0.62,4.2,3.28
1992,2,4,4.46,0.77,4.46,2.54
1992,2,5,4.34,0.74,4.45,4.11
1992,2,6,4.29,0.72,4.52,3.01
1992,2,7,4.47,0.75,4.57,2.74
1992,2,8,4.2,0.7,4.68,2.01
1992,2,9,4.51,0.74,4.64,2.6
1992,2,10,4.43,0.72,4.56,3.57
1992,2,11,4.49,0.72,4.69,4.4
1992,2,12,4.12,0.66,4.7,4.16
1992,2,13,4.83,0.76,4.96,3.2
1992,2,14,3.87,0.61,4.7,5.34
1992,2,15,5.04,0.78,5.06,4.52
1992,2,16,4.94,0.76,5.14,3.7
1992,2,17,4.33,0.66,5.02,4.74
1992,2,18,4.33,0.65,4.92,3.58
1992,2,19,5.09,0.76,5.28,3.09
1992,2,20,5.31,0.79,5.37,3.7
1992,2,21,4.93,0.72,5.24,4.99
1992,2,22,4.73,0.69,5.22,5.77
1992,2,23,4.37,0.63,5.46,3.78
1992,2,24,5.17,0.74,5.53,4.92
1992,2,25,5.32,0.75,5.32,7.41
1992,2,26,5.35,0.75,5.35,9.4
1992,2,27,4.76,0.66,4.94,10.83
1992,2,28,1.11,0.15,5.25,10.35
1992,2,29,1.92,0.26,5.35,9.18
1992,3,1,3.41,0.46,5.15,6.94
1992,3,2,1.86,0.25,5.19,6.78
1992,3,3,2.57,0.34,5.19,5.45
1992,3,4,1.57,0.21,5.14,2.46
1992,3,5,4.39,0.58,5.45,2.86
1992,3,6,5.41,0.7,5.69,3.8
1992,3,7,4.7,0.61,5.24,5.32
1992,3,8,4.97,0.64,4.97,7.75
1992,3,9,4.64,0.59,4.63,10.34
1992,3,10,4.19,0.53,4.36,9.76
1992,3,11,4.26,0.53,4.83,11.47
1992,3,12,4.84,0.6,4.84,10.22
1992,3,13,3.92,0.48,4.52,9.89
1992,3,14,1.32,0.16,5.66,9.08
1992,3,15,1.08,0.13,5.74,6.41
1992,3,16,3.17,0.38,5.96,4.39
1992,3,17,2.19,0.26,6.07,5.23
1992,3,18,5.6,0.66,5.83,7.1
1992,3,19,5.14,0.6,6.16,9.03
1992,3,20,1.76,0.21,6.1,5.59
1992,3,21,5.14,0.59,6.3,4.8
1992,3,22,1.88,0.22,6.3,4.57
1992,3,23,3.4,0.39,6.2,6.78
1992,3,24,5.3,0.6,5.75,7.74
1992,3,25,2.03,0.23,6.36,8.93
1992,3,26,6.13,0.69,6.61,9.46
1992,3,27,6,0.67,6.28,10.77
1992,3,28,4.05,0.45,6.16,12.49
1992,3,29,6.02,0.66,6.17,14.19
1992,3,30,6.39,0.7,6.32,13.9
1992,3,31,4.9,0.53,6.66,12.34
1992,4,1,4.95,0.53,5.21,13.81
1992,4,2,5.16,0.55,5.25,16.14
1992,4,3,4.06,0.43,6.22,15.62
1992,4,4,5.04,0.53,5.02,15.38
1992,4,5,5.45,0.57,5.95,17.32
1992,4,6,5,0.52,5.74,14.27
1992,4,7,5.38,0.56,6.17,13.61
1992,4,8,1.05,0.11,6.47,12.61
1992,4,9,1.16,0.12,6.52,9.6
1992,4,10,4.8,0.49,6.49,10.69
1992,4,11,5.88,0.6,6.28,11.08
1992,4,12,6.19,0.63,6.19,11.22
1992,4,13,5.65,0.57,5.8,13.36
1992,4,14,5.98,0.6,6.05,13.36
1992,4,15,5.93,0.59,5.86,11.87
1992,4,16,6.2,0.62,5.99,13.29
1992,4,17,5.58,0.55,5.91,17.42
1992,4,18,6.54,0.64,7.25,15.33
1992,4,19,7.2,0.71,7.2,16.08
1992,4,20,6.21,0.61,5.84,18.69
1992,4,21,5.51,0.54,7.2,16.91
1992,4,22,5.35,0.52,7.35,17.58
1992,4,23,6.53,0.63,6.53,18.72
1992,4,24,7.66,0.74,7.68,15.72
1992,4,25,6.01,0.57,7.45,16.1
1992,4,26,7.35,0.7,7.35,18.97
1992,4,27,7.01,0.67,6.89,19.98
1992,4,28,6.75,0.64,7.06,17.37
1992,4,29,3.04,0.29,7.26,15.26
1992,4,30,7.07,0.66,7.18,17.97
1992,5,1,5,0.47,7.36,17.69
1992,5,2,7.13,0.66,7.12,19.2
1992,5,3,6.93,0.64,6.88,18.43
1992,5,4,2.3,0.21,7.04,17.82
1992,5,5,1.76,0.16,7,17.7
1992,5,6,1.48,0.14,7.03,18.02
1992,5,7,2.96,0.27,7.15,14.87
1992,5,8,7.39,0.68,7.26,17.6
1992,5,9,7.21,0.66,7.64,16.44
1992,5,10,7.31,0.67,7.48,16.78
1992,5,11,7.12,0.65,7.35,17.14
1992,5,12,1.08,0.1,7.38,14.8
1992,5,13,6.32,0.57,6.57,18.24
1992,5,14,5.77,0.52,7.31,18.92
1992,5,15,6.07,0.54,6.76,18.67
1992,5,16,5.75,0.52,7.64,21.53
1992,5,17,6.17,0.55,7.48,22.75
1992,5,18,7.24,0.65,7.33,22.68
1992,5,19,6.84,0.61,6.92,22.13
1992,5,20,6.85,0.61,7.38,23.17
1992,5,21,7.23,0.64,7.16,23.28
1992,5,22,6.46,0.57,7,24.2
1992,5,23,7.93,0.7,7.93,23.24
1992,5,24,6.9,0.61,7.3,23.27
1992,5,25,7.48,0.66,7.41,21.75
1992,5,26,7.32,0.64,7.14,23.06
1992,5,27,6.84,0.6,6.88,24.61
1992,5,28,7.7,0.67,7.78,25.28
1992,5,29,7.07,0.62,7.35,27.74
1992,5,30,6.82,0.6,7.48,24.78
1992,5,31,7,0.61,7.46,23.99
1992,6,1,6.79,0.59,6.83,25.26
1992,6,2,6.77,0.59,7.39,25.04
1992,6,3,1.11,0.1,7.28,22.58
1992,6,4,7.91,0.69,7.94,23.46
1992,6,5,5.44,0.47,7.11,21.73
1992,6,6,3.95,0.34,7.04,19.26
1992,6,7,6.84,0.59,7.24,20.24
1992,6,8,7.15,0.62,7.08,22.8
1992,6,9,6.56,0.57,7.14,22.71
1992,6,10,7.9,0.68,7.85,21.6
1992,6,11,7.05,0.61,7.8,23.89
1992,6,12,1.62,0.14,7.5,24.16
1992,6,13,4.11,0.36,7.47,24.78
1992,6,14,5.04,0.44,7.15,23.27
1992,6,15,7.01,0.61,7.52,25.12
1992,6,16,6.91,0.6,7.34,25.73
1992,6,17,6.98,0.6,7.54,24.34
1992,6,18,7.66,0.66,7.66,25.27
1992,6,19,7.19,0.62,7.04,26.34
1992,6,20,6.56,0.57,7.26,25.9
1992,6,21,1.29,0.11,7.46,22.26
1992,6,22,4.91,0.42,7.58,22.45
1992,6,23,6.82,0.59,6.82,23.65
1992,6,24,6.13,0.53,5.99,24.95
1992,6,25,5.87,0.51,7.43,25.05
1992,6,26,3.32,0.29,7.44,23.84
1992,6,27,5.09,0.44,7.46,24.83
1992,6,28,5.12,0.44,7.47,25.63
1992,6,29,6.25,0.54,7.44,25.48
1992,6,30,6.95,0.6,6.8,25.49
1992,7,1,6.43,0.56,5.97,24.85
1992,7,2,6.66,0.58,7.08,25.6
1992,7,3,7.11,0.62,7.94,26.16
1992,7,4,7.48,0.65,7.21,26.49
1992,7,5,7.73,0.67,7.73,27.57
1992,7,6,7.12,0.62,7.43,26.66
1992,7,7,7.87,0.69,7.87,27.63
1992,7,8,6.83,0.6,7.07,28.23
1992,7,9,4.18,0.37,7.86,24.26
1992,7,10,6.33,0.55,7.82,26.05
1992,7,11,5.34,0.47,6.7,26.2
1992,7,12,3.72,0.33,7.67,24.47
1992,7,13,4.85,0.43,7.73,24.72
1992,7,14,4.83,0.43,7.73,24.62
1992,7,15,2.33,0.21,7.63,23.84
1992,7,16,1.06,0.09,7.62,24.52
1992,7,17,6.04,0.53,7.29,24.71
1992,7,18,6.84,0.61,7.95,25.03
1992,7,19,4.08,0.36,7.58,25.79
1992,7,20,2.61,0.23,7.55,25.5
1992,7,21,5.09,0.45,7.54,25.96
1992,7,22,5.76,0.52,6.74,26.78
1992,7,23,4.8,0.43,7.51,26.39
1992,7,24,6.52,0.59,7.53,27.18
1992,7,25,7.85,0.71,7.86,27.16
1992,7,26,6.97,0.63,7.21,26.85
1992,7,27,6.91,0.63,6.91,28.19
1992,7,28,5.99,0.54,5.96,27.54
1992,7,29,6.17,0.56,6,27.46
1992,7,30,7.33,0.67,7.32,26.47
1992,7,31,7.13,0.65,7.59,25.66
1992,8,1,7.01,0.64,7.07,25.96
1992,8,2,5.78,0.53,5.73,26.77
1992,8,3,4.95,0.46,6.26,26.57
1992,8,4,6.1,0.56,7.31,26.46
1992,8,5,4.09,0.38,7.23,26.66
1992,8,6,3.05,0.28,7.18,25.41
1992,8,7,4.36,0.41,6.91,25.2
1992,8,8,7.33,0.69,7.33,24.52
1992,8,9,5.22,0.49,6.93,25.75
1992,8,10,4.17,0.39,7.19,25.1
1992,8,11,1.49,0.14,7.05,25.5
1992,8,12,2.24,0.21,7.02,24.33
1992,8,13,2.54,0.24,7.06,24.32
1992,8,14,5.7,0.55,6.89,23.59
1992,8,15,3.6,0.35,7.05,23.11
1992,8,16,5.09,0.49,6.89,23.3
1992,8,17,5.78,0.56,6.67,24.08
1992,8,18,5.33,0.52,7.06,24.1
1992,8,19,6.44,0.63,6.38,24.32
1992,8,20,5.94,0.58,5.94,25.55
1992,8,21,5.24,0.52,6.77,26.04
1992,8,22,1.65,0.16,6.72,25.15
1992,8,23,5.2,0.52,6.5,25.79
1992,8,24,6.48,0.65,6.97,25.07
1992,8,25,6.12,0.61,6.66,24.86
1992,8,26,5.35,0.54,6.65,24.89
1992,8,27,5.78,0.59,6.02,25.82
1992,8,28,5.16,0.53,5.11,25.68
1992,8,29,4.37,0.45,6.44,26.05
1992,8,30,4.91,0.5,5.5,25.93
1992,8,31,1.58,0.16,6.39,24.65
1992,9,1,0.28,0.03,6.47,24.5
1992,9,2,0.69,0.07,6.42,23.86
1992,9,3,6.64,0.7,6.64,24.68
1992,9,4,6.18,0.65,6.18,24.46
1992,9,5,4.91,0.52,4.99,24.17
1992,9,6,3.27,0.35,5.38,23.53
1992,9,7,5.54,0.6,5.61,23.92
1992,9,8,1.55,0.17,6.33,21.72
1992,9,9,6.01,0.65,6.03,21.8
1992,9,10,3.16,0.35,6.27,21.67
1992,9,11,1,0.11,6.16,21.71
1992,9,12,0.32,0.04,5.99,21.21
1992,9,13,4.98,0.55,6.06,22.22
1992,9,14,2.92,0.33,6.03,22.5
1992,9,15,2.57,0.29,5.83,23.66
1992,9,16,3.25,0.37,6.08,21.91
1992,9,17,5.19,0.59,6,22.18
1992,9,18,5.95,0.68,6.03,22.32
1992,9,19,1.41,0.16,5.89,21.71
1992,9,20,2.1,0.24,5.79,20.34
1992,9,21,5.8,0.68,5.81,20.98
1992,9,22,4.94,0.58,5.17,21.55
1992,9,23,5.07,0.6,5.12,21.92
1992,9,24,4.15,0.5,4.96,21.9
1992,9,25,5.77,0.7,5.77,19.87
1992,9,26,5.71,0.69,5.71,19.37
1992,9,27,4.49,0.55,5.6,20.68
1992,9,28,1.7,0.21,5.46,18.54
1992,9,29,5.42,0.67,5.47,19.67
1992,9,30,4.8,0.6,5.16,20.63
1992,10,1,4.86,0.61,5.12,21.19
1992,10,2,0.44,0.06,5.06,21.6
1992,10,3,0.17,0.02,5.08,17.51
1992,10,4,2.97,0.38,5.21,16.09
1992,10,5,5.26,0.69,5.33,16.12
1992,10,6,2.2,0.29,5.09,16.57
1992,10,7,4.92,0.65,4.96,17.78
1992,10,8,5.04,0.67,5.04,18.74
1992,10,9,4.35,0.59,4.53,18.65
1992,10,10,3.7,0.5,4.84,18.82
1992,10,11,4.02,0.55,4.52,17.68
1992,10,12,3.89,0.54,4.67,16.9
1992,10,13,3.97,0.55,4.83,16.77
1992,10,14,4.51,0.63,4.51,16.43
1992,10,15,3.66,0.52,4.05,16.74
1992,10,16,2.4,0.34,4.31,15.35
1992,10,17,4.54,0.66,4.57,14.57
1992,10,18,4.49,0.65,4.49,16.62
1992,10,19,4.48,0.66,4.48,16.98
1992,10,20,4.43,0.66,4.43,17.38
1992,10,21,4.37,0.65,4.37,18.14
1992,10,22,3.3,0.5,4.23,17.02
1992,10,23,4.23,0.64,4.34,13.73
1992,10,24,4.21,0.65,4.28,11.88
1992,10,25,4.19,0.65,4.21,13.39
1992,10,26,4.09,0.64,4.13,14.34
1992,10,27,3.71,0.59,3.74,15.43
1992,10,28,3.23,0.51,3.51,15.84
1992,10,29,3.67,0.59,3.7,15.97
1992,10,30,3.57,0.58,3.55,14.56
1992,10,31,3.65,0.6,3.66,14.97
1992,11,1,4.38,0.72,4.43,13.16
1992,11,2,3.64,0.61,4.23,13.09
1992,11,3,4.08,0.69,4.24,14.35
1992,11,4,4.1,0.69,4.21,14.77
1992,11,5,3.89,0.66,3.99,16.43
1992,11,6,3.93,0.68,3.95,16.64
1992,11,7,1.29,0.22,4.06,13.86
1992,11,8,1.9,0.33,4.07,7.91
1992,11,9,3.59,0.64,4.2,5.33
1992,11,10,3.59,0.64,4.15,7.67
1992,11,11,3.33,0.6,3.84,10.63
1992,11,12,3.56,0.65,3.62,12.78
1992,11,13,3.04,0.56,3.47,11.87
1992,11,14,3.57,0.66,3.64,13.16
1992,11,15,3.5,0.65,3.64,10.25
1992,11,16,3.49,0.66,3.65,8.81
1992,11,17,2.94,0.56,3.21,11.23
1992,11,18,1.41,0.27,3.6,13.82
1992,11,19,1.32,0.25,3.6,8.86
1992,11,20,3.39,0.66,3.62,5
1992,11,21,3.39,0.66,3.55,6.45
1992,11,22,3.36,0.66,3.48,8.82
1992,11,23,3.41,0.68,3.5,9.87
1992,11,24,3.14,0.63,3.49,10.77
1992,11,25,3.31,0.66,3.4,8.21
1992,11,26,2.89,0.58,3.58,5.17
1992,11,27,2.56,0.52,3.5,6.58
1992,11,28,3.28,0.67,3.31,8.01
1992,11,29,3.27,0.67,3.31,10.56
1992,11,30,3.18,0.66,3.25,10.76
1992,12,1,2.93,0.61,3.24,8.3
1992,12,2,3.35,0.7,3.43,7.29
1992,12,3,3.22,0.68,3.26,8.28
1992,12,4,2.31,0.49,2.7,9.23
1992,12,5,1.04,0.22,3.24,8.99
1992,12,6,0.88,0.19,3.21,7.57
1992,12,7,1.67,0.36,2.71,9.04
1992,12,8,1.93,0.42,3.28,8.71
1992,12,9,2.65,0.57,3.06,8.26
1992,12,10,3.28,0.71,3.34,4.25
1992,12,11,3.3,0.72,3.35,4.55
1992,12,12,2.9,0.63,3.25,6.36
1992,12,13,2.75,0.6,3.23,4.41
1992,12,14,3.28,0.72,3.32,2.54
1992,12,15,3.31,0.73,3.37,3.27
1992,12,16,3.06,0.67,3.18,4.37
1992,12,17,2.18,0.48,3.26,5.43
1992,12,18,2.57,0.57,3.15,6.24
1992,12,19,1.62,0.36,2.65,7.28
1992,12,20,1.52,0.34,3.16,6.84
1992,12,21,3.29,0.73,3.32,3.68
1992,12,22,2.7,0.6,3.25,4.14
1992,12,23,3.09,0.68,3.36,1.62
1992,12,24,3.2,0.7,3.23,3.63
1992,12,25,2.71,0.6,2.95,5.14
1992,12,26,1.33,0.29,3.16,6.64
1992,12,27,0.72,0.16,3.12,6.01
1992,12,28,3.29,0.72,3.3,3.57
1992,12,29,3.29,0.72,3.29,3.45
1992,12,30,2.98,0.65,3.14,4.59
1992,12,31,3.09,0.67,3.21,4.06
1993,1,1,2.72,0.59,3.05,5.23
1993,1,2,1.68,0.36,3.29,6.84
1993,1,3,1.66,0.36,3.34,4.41
1993,1,4,3.36,0.72,3.46,2.48
1993,1,5,3,0.64,3.39,3.97
1993,1,6,2.18,0.46,3.39,4.56
1993,1,7,2.28,0.48,2.17,3.49
1993,1,8,1.23,0.26,3.38,3.59
1993,1,9,0.11,0.02,3.39,3.69
1993,1,10,2.65,0.55,3.49,2.75
1993,1,11,3.55,0.73,3.63,2.78
1993,1,12,2.47,0.51,3.51,3.66
1993,1,13,0.91,0.19,3.49,3.29
1993,1,14,1.79,0.36,3.61,1.91
1993,1,15,2.31,0.46,3.78,0.54
1993,1,16,2.89,0.58,3.88,0.56
1993,1,17,3.25,0.64,3.88,0.65
1993,1,18,3.15,0.62,3.91,0.23
1993,1,19,3.24,0.63,3.9,0.64
1993,1,20,3.42,0.66,3.96,0.9
1993,1,21,3.63,0.7,3.69,1.29
1993,1,22,2.56,0.49,3.92,1.46
1993,1,23,3.53,0.67,3.87,2.38
1993,1,24,3.97,0.75,4.04,2.05
1993,1,25,3.92,0.73,4.06,2.54
1993,1,26,3.98,0.74,4.05,2.06
1993,1,27,4,0.73,4.16,0.58
1993,1,28,3.91,0.71,4.12,1.78
1993,1,29,3.97,0.72,4,2.65
1993,1,30,4.1,0.73,4.1,3.79
1993,1,31,4.25,0.75,4.25,3.88
1993,2,1,3.93,0.69,4.31,3.03
1993,2,2,3.77,0.66,4.36,3.93
1993,2,3,3.84,0.66,4.16,5.25
1993,2,4,3.97,0.68,4.2,6.38
1993,2,5,3.98,0.67,4.14,10.01
1993,2,6,3.3,0.55,3.97,8.8
1993,2,7,3.43,0.57,3.99,3.9
1993,2,8,2.58,0.42,4.53,3.48
1993,2,9,3.77,0.62,4.31,4.27
1993,2,10,3.11,0.5,4.28,5.35
1993,2,11,4.05,0.65,4.45,5.5
1993,2,12,4.33,0.69,4.44,6.97
1993,2,13,4.48,0.7,4.48,7.78
1993,2,14,4.3,0.67,4.78,6.01
1993,2,15,1.04,0.16,4.77,6
1993,2,16,1.71,0.26,4.87,4.91
1993,2,17,1.78,0.27,4.92,4.72
1993,2,18,3.04,0.46,5.02,4.58
1993,2,19,4.95,0.74,4.93,4.7
1993,2,20,0.96,0.14,4.95,3.65
1993,2,21,3.59,0.52,4.65,4.81
1993,2,22,5.34,0.77,5.5,1.45
1993,2,23,5.4,0.77,5.51,1.83
1993,2,24,4.73,0.67,5.24,2.92
1993,2,25,5.46,0.77,5.5,3.38
1993,2,26,5.02,0.7,5.25,4.86
1993,2,27,4.53,0.63,5.5,4.82
1993,2,28,5.71,0.78,5.71,3.33
1993,3,1,5.33,0.72,5.44,2.91
1993,3,2,5.25,0.71,5.24,4.96
1993,3,3,5.24,0.7,5.24,6.98
1993,3,4,5.39,0.71,5.39,7.21
1993,3,5,4.6,0.6,4.6,10.67
1993,3,6,4.36,0.57,4.79,6.09
1993,3,7,5.17,0.67,5.41,6.34
1993,3,8,5.4,0.69,5.4,7.55
1993,3,9,4.3,0.55,4.79,8.15
1993,3,10,4.88,0.61,5.47,10.2
1993,3,11,4.39,0.55,4.67,10.77
1993,3,12,4.68,0.58,5.6,10.23
1993,3,13,2.93,0.36,5.65,9.53
1993,3,14,0.79,0.1,5.63,7.06
1993,3,15,5.29,0.64,5.04,8.8
1993,3,16,5.94,0.71,5.94,6.61
1993,3,17,6.08,0.73,6.08,5.98
1993,3,18,6.16,0.73,6.27,6.06
1993,3,19,5.91,0.7,5.92,7.06
1993,3,20,5.7,0.67,5.8,8.78
1993,3,21,4.83,0.56,5.77,10.27
1993,3,22,5,0.58,6.17,10.57
1993,3,23,3.26,0.37,6.14,8.78
1993,3,24,3.94,0.45,5.59,8.41
1993,3,25,4.3,0.48,6.15,10.49
1993,3,26,5.28,0.59,6.45,13.17
1993,3,27,5.16,0.57,6.56,13.16
1993,3,28,6.74,0.75,6.76,11.76
1993,3,29,6.05,0.66,6.87,10.79
1993,3,30,6.35,0.69,6.76,12.04
1993,3,31,5.38,0.58,5.6,14.38
1993,4,1,5.04,0.54,5.02,13.04
1993,4,2,5.16,0.55,5.1,14.96
1993,4,3,1.96,0.21,6.4,11.67
